user_id,skills
u1,"Assessing physical condition, Deep knowledge of animal behavior, Gentle animal handling, Ability to stay calm with animals, Evaluating animal breed and age"
u2,"Gentle animal handling, Assessing physical condition, Deep knowledge of animal behavior, Ability to stay calm with animals, Evaluating animal breed and age"
u3,"Excellent verbal communication, Professional attitude in tough environments, Experience with marginalized communities, Patient and non-judgmental, Microsoft Office proficiency, Knowledge of food & health issues, Determined to make a difference"
u4,"Communicates clearly, Leadership ability, Fast learner, General computer knowledge, Effective time manager, Team player"
u5,"Patient and non-judgmental, Excellent verbal communication, Knowledge of food & health issues, Microsoft Office proficiency, Experience with marginalized communities, Professional attitude in tough environments"
u6,"Excellent verbal and written skills, Time management and organization, Cultural sensitivity and engagement, CRM tools like InfusionSoft, Adobe Creative Suite experience"
u7,"Microsoft Office proficiency, Professional attitude in tough environments, Knowledge of food & health issues"
u8,"Cultural sensitivity and engagement, Excellent verbal and written skills, Adobe Creative Suite experience, CRM tools like InfusionSoft, Time management and organization"
u9,"Strong communication and interpersonal skills, Team collaboration, Compassionate patient care, Fast-paced work environment experience, Attention to detail"
u10,"Evaluating animal breed and age, Ability to stay calm with animals, Gentle animal handling, Assessing physical condition, Deep knowledge of animal behavior"
u11,"Time management and organization, Excellent verbal and written skills, CRM tools like InfusionSoft, Cultural sensitivity and engagement, Adobe Creative Suite experience"
u12,"Evaluating animal breed and age, Deep knowledge of animal behavior, Ability to stay calm with animals, Assessing physical condition, Gentle animal handling"
u13,"Reliable – keeps commitments, Good manners and communication, Patient and calm under stress, Trustworthy, Friendly and open to people with disabilities, Willingness to help, Empathy"
u14,"Determined to make a difference, Excellent verbal communication, Microsoft Office proficiency, Knowledge of food & health issues, Professional attitude in tough environments, Patient and non-judgmental"
u15,"Public speaking, Community engagement, Stakeholder collaboration, Event coordination, Partnership building"
u16,"Friendly and open to people with disabilities, Trustworthy, Good manners and communication"
u17,"Willingness to help, Empathy, Good manners and communication, Patient and calm under stress, Reliable – keeps commitments"
u18,"Leadership ability, Team player, Communicates clearly, Fast learner, Adaptable, General computer knowledge, Effective time manager"
u19,"Public speaking, Event coordination, Stakeholder collaboration"
u20,"Fast-paced work environment experience, Attention to detail, Team collaboration, Strong communication and interpersonal skills, Compassionate patient care"
u21,"Strong communication and interpersonal skills, Fast-paced work environment experience, Compassionate patient care, Attention to detail, Team collaboration"
u22,"Reliable – keeps commitments, Willingness to help, Empathy, Trustworthy, Friendly and open to people with disabilities"
u23,"Adaptable, Leadership ability, Fast learner"
u24,"Attention to detail, Compassionate patient care, Fast-paced work environment experience, Team collaboration, Strong communication and interpersonal skills"
u25,"Empathy, Friendly and open to people with disabilities, Trustworthy, Patient and calm under stress, Willingness to help, Good manners and communication, Reliable – keeps commitments"
u26,"Evaluating animal breed and age, Ability to stay calm with animals, Assessing physical condition, Deep knowledge of animal behavior, Gentle animal handling"
u27,"Assessing physical condition, Gentle animal handling, Deep knowledge of animal behavior, Evaluating animal breed and age, Ability to stay calm with animals"
u28,"Strong communication and interpersonal skills, Team collaboration, Attention to detail, Fast-paced work environment experience, Compassionate patient care"
u29,"Partnership building, Community engagement, Project planning, Event coordination, Public speaking, Stakeholder collaboration, Grant acquisition"
u30,"Evaluating animal breed and age, Deep knowledge of animal behavior, Ability to stay calm with animals"
u31,"Gentle animal handling, Ability to stay calm with animals, Assessing physical condition, Deep knowledge of animal behavior, Evaluating animal breed and age"
u32,"Evaluating animal breed and age, Deep knowledge of animal behavior, Gentle animal handling, Assessing physical condition, Ability to stay calm with animals"
u33,"Evaluating animal breed and age, Gentle animal handling, Deep knowledge of animal behavior"
u34,"Good manners and communication, Patient and calm under stress, Reliable – keeps commitments, Empathy, Trustworthy, Friendly and open to people with disabilities, Willingness to help"
u35,"Compassionate patient care, Attention to detail, Team collaboration, Fast-paced work environment experience, Strong communication and interpersonal skills"
u36,"Good manners and communication, Trustworthy, Patient and calm under stress"
u37,"Gentle animal handling, Deep knowledge of animal behavior, Evaluating animal breed and age, Ability to stay calm with animals, Assessing physical condition"
u38,"Microsoft Office proficiency, Knowledge of food & health issues, Excellent verbal communication, Professional attitude in tough environments, Experience with marginalized communities"
u39,"Effective time manager, General computer knowledge, Fast learner, Team player, Communicates clearly, Adaptable, Leadership ability"
