job_id,title,requirements
job1,Hospice Care Assistant,"['Completed qualification course in life, death, and grief counseling', '40-hour internship in hospice or palliative care', 'Respectful and empathetic communication', 'Availability of at least 2 hours per week']"
job2,Social Work Assistant in Residential Community,"['Reliability – adhere to agreements', 'Empathy for people with disabilities', 'Sociable and open-minded', 'Willingness to help and engage']"
job3,Software Developer,"['Experience in Python, JavaScript, or Java', 'Familiarity with agile methodologies (Scrum, Kanban)', 'Team player with self-driven attitude', 'Willingness to learn new technologies']"
job4,Graphic Designer,"['Proficiency in Adobe Creative Suite (Photoshop, Illustrator, InDesign)', 'Strong sense of aesthetics and attention to detail', 'Portfolio of creative projects', 'Good communication and time management']"
job5,Marketing Assistant,"['Knowledge of digital marketing tools and social media platforms', 'Analytical thinking and creativity', 'Basic SEO and content writing experience', 'Ability to work in a fast-paced environment']"
job6,Customer Support Representative,"['Excellent verbal and written communication', 'Patience and problem-solving skills', 'Experience with helpdesk systems is a plus', 'Ability to multitask and stay calm under pressure']"
job7,Administrative Assistant,"['Strong organizational and multitasking skills', 'Experience with Microsoft Office (Word, Excel, Outlook)', 'Professional demeanor and confidentiality', 'Time management and scheduling experience']"
job8,Data Analyst,"['Proficiency in Excel, SQL, and data visualization tools (e.g. Tableau)', 'Strong analytical and statistical skills', 'Attention to detail and logical reasoning', 'Ability to interpret and present data clearly']"
job9,Elementary School Teacher,"['Degree in education or related field', 'Experience in classroom management', 'Creative and engaging teaching methods', 'Patience and excellent communication']"
job10,Warehouse Worker,"['Ability to lift and move heavy items', 'Basic inventory tracking experience', 'Teamwork and reliability', 'Willingness to work flexible shifts']"
job11,Human Resources Assistant,"['Basic knowledge of labor laws and HR practices', 'Excellent interpersonal and communication skills', 'Experience with HR software is a plus', 'Discretion and organizational skills']"
job12,Nurse (Registered or Practical),"['Valid nursing license', 'Compassionate patient care', 'Experience in administering medication and basic procedures', 'Ability to stay calm in emergencies']"
job13,Restaurant Server,"['Friendly and attentive service', 'Experience with POS systems', 'Ability to handle busy environments', 'Team spirit and punctuality']"
job14,Sales Representative,"['Strong communication and persuasion skills', 'Experience in B2B or B2C sales', 'Ability to meet targets and handle rejections', 'Customer-focused mindset']"
job15,Electrician,"['Valid electrician certification or license', 'Knowledge of electrical codes and safety procedures', 'Experience with residential or commercial systems', 'Problem-solving and attention to detail']"
job16,UX/UI Designer,"['Understanding of user-centered design principles', 'Experience with Figma, Sketch, or Adobe XD', 'Ability to conduct user testing', 'Strong visual communication skills']"
job17,Mobile App Developer,"['Proficiency in iOS or Android SDK', 'Understanding of REST APIs and mobile design patterns', 'Portfolio of published apps', 'Collaborative and adaptive work style']"
job18,Translator (EN <-> DE),"['Fluent in English and German', 'Experience in technical or legal translation', 'Strong grammar and terminology skills', 'Attention to tone and context']"
job19,Content Writer,"['Fluent written English', 'Creative writing and storytelling skills', 'Understanding of SEO and keyword placement', 'Proofreading and editing experience']"
job20,Fitness Trainer,"['Certified fitness training qualification', 'Experience in group or individual coaching', 'Knowledge of nutrition and injury prevention', 'Motivational and approachable attitude']"
job21,Hospice Care Assistant,"['Completed qualification course in life, death, and grief counseling', '40-hour internship in hospice or palliative care', 'Respectful and empathetic communication', 'Availability of at least 2 hours per week']"
job22,Social Work Assistant in Residential Community,"['Reliability – adhere to agreements', 'Empathy for people with disabilities', 'Sociable and open-minded', 'Willingness to help and engage']"
job23,Public Health Outreach Worker,"['Non-judgmental and professional demeanor', 'Experience with diverse or vulnerable populations', 'Excellent verbal communication skills', 'Basic knowledge of nutrition, hygiene, or community health']"
job24,Community Development Coordinator,"['Experience in community engagement', 'Stakeholder communication', 'Event coordination experience', 'Ability to lead and plan community projects']"
job25,Animal Shelter Assistant,"['Understanding of animal behavior', 'Calm demeanor when handling animals', 'Comfortable with physical assessments', 'Experience working with pets or strays']"
job26,Administrative Assistant,"['Good organizational and time management skills', 'Proficient with Microsoft Office', 'Clear communication style', 'Ability to multitask and prioritize tasks']"
job27,Community Center Volunteer,"['Friendly and approachable', 'Enjoyment in group activities and engagement', 'Empathy for different life situations', 'Basic planning or coordination experience']"
job28,Patient Care Assistant,"['Compassionate patient care', 'Attention to detail', 'Team collaboration', 'Ability to work in a fast-paced healthcare environment']"
job29,Fundraising and Grant Support Officer,"['Experience in grant writing or acquisition', 'Public speaking and communication', 'Organizational and planning skills', 'Passion for nonprofit work']"
job30,Volunteer Coordinator,"['Leadership skills', 'Time management and scheduling', 'Adaptability', 'Experience in community programs or outreach']"
job31,CRM and Communications Assistant,"['Experience using CRM systems like InfusionSoft', 'Excellent written communication', 'Basic graphic or digital media knowledge', 'Time management']"
job32,Youth Mentoring Program Facilitator,"['Empathy and patience', 'Experience with children or teens', 'Ability to plan group activities', 'Positive role model behavior']"
job33,Outreach & Engagement Intern,"['Willingness to help in underserved communities', 'Basic data collection and reporting', 'Reliable and open communicator', 'Able to represent the organization positively']"
