user_id,skills
u1,"['Completed grief counseling workshop', 'Volunteer experience in elderly care', 'Empathetic and respectful communicator', 'Available 3 hours weekly']"
u2,"['Reliable and always on time', 'Enjoys working with people with disabilities', 'Warm and open communication style', 'Patient and steady under stress']"
u3,"['Worked in refugee outreach for 6 months', 'Non-judgmental and culturally aware', 'Basic health and hygiene training', 'Good at explaining things clearly']"
u4,"['Organized local cleanup campaigns', 'Strong stakeholder engagement skills', 'Led multiple small community projects', 'Comfortable speaking to groups']"
u5,"['Deep love for animals', 'Volunteered in a shelter last summer', 'Calm and observant around stressed pets', 'Knows how to assess animal behavior']"
u6,"['Proficient in Microsoft Word and Excel', 'Handles multi-tasking well', 'Friendly phone and email manner', 'Punctual and self-motivated']"
u7,"['Very social and enthusiastic', 'Enjoys helping with children’s workshops', 'Familiar with basic event planning', 'Empathetic with people from all walks of life']"
u8,"['Interned at a health clinic', 'Team player and quick learner', 'Strong attention to detail', 'Excellent communication with patients']"
u9,"['Wrote and submitted two small grants', 'Comfortable with public speaking', 'Can coordinate small team projects', 'Interested in social change work']"
u10,"['Helped coordinate volunteers at university', 'Can manage schedules and time blocks', 'Delegates tasks effectively', 'Empathic team leader']"
u11,"['Used InfusionSoft in previous internship', 'Comfortable with Canva and basic graphic tools', 'Good at writing emails and newsletters', 'Organized and deadline-focused']"
u12,"['Mentored teens at a youth camp', 'Listens with compassion', 'Enjoys creating meaningful group activities', 'Able to de-escalate conflicts calmly']"
u13,"['Volunteered in local soup kitchen', 'Knows how to track attendance and forms', 'Good note-taker and communicator', 'Always friendly and approachable']"
u14,"['Animal shelter intern, 3 months experience', 'Good at observing pet behavior changes', 'Comfortable working with nervous dogs', 'Attentive and calm under pressure']"
u15,"['Worked with families under stress (via hotline)', 'Understands family dynamics and trauma', 'Can keep organized records', 'Empathic and supportive in communication']"
u16,"['Helped people at job fairs with resumes', 'Can support others using online job portals', 'Friendly and encouraging', 'Basic computer skills']"
u17,"['Written for small nonprofit newsletter', 'Some experience with Adobe InDesign', 'Loves storytelling and interviews', 'Respects inclusive, ethical communication']"
u18,"['Volunteer housing aid at local shelter', 'Knows how to track applicant progress', 'Patience and resilience with red tape', 'Good listener and problem solver']"
u19,"['Comfortable setting up tables and banners', 'Talkative and cheerful personality', 'Used to volunteering at events', 'Interested in health advocacy']"
u20,"['Experience managing social media for student org', 'Creates flyers using Canva', 'Well-organized with online tools', 'Responsive and flexible under pressure']"
u21,"['Volunteered in palliative care home', 'Respectful communicator with the elderly', 'Can commit 2 hours per week', 'Completed intro training on grief and care']"
u22,"['Caring and supportive personality', 'Used to working with people with learning disabilities', 'Can follow daily plans and adapt quickly', 'Not afraid to help with personal care']"
u23,"['Works with at-risk youth', 'Understands trauma-informed support', 'Can manage difficult conversations calmly', 'Strong sense of empathy']"
u24,"['Organized 3 public workshops for nonprofit', 'Handles communication with partners', 'Skilled in project timelines and coordination', 'Great with follow-up and feedback']"
u25,"['Used to caring for animals in my family farm', 'Understands stress signals in dogs and cats', 'Enjoys working outdoors', 'Gentle and observant with all animals']"
u26,"['Experience in peer mentoring', 'Led health education activities', 'Good with managing small groups', 'Values inclusive communication']"
u27,"['Worked with diverse populations', 'Empathetic listener', 'Comfortable with documentation and forms', 'Reliable and professional attitude', 'Fluent in two languages']"
u28,"['Animal lover with experience caring for pets', 'Calm in high-stress situations', 'Trained in basic first aid for animals', 'Enjoys long shifts and teamwork']"
u29,"['Organized community wellness day', 'Knows how to coordinate vendors', 'Friendly and supportive with attendees', 'Manages time and logistics well', 'Some experience in data entry']"
u30,"['Coordinated food drives and local events', 'Excellent written communication', 'Comfortable leading volunteer teams', 'Organized and quick to adapt']"
u31,"['Organized community wellness day', 'Knows how to coordinate vendors', 'Friendly and supportive with attendees', 'Manages time and logistics well', 'Some experience in data entry']"
u32,"['Animal lover with experience caring for pets', 'Calm in high-stress situations', 'Trained in basic first aid for animals', 'Enjoys long shifts and teamwork']"
u33,"['Worked with diverse populations', 'Empathetic listener', 'Comfortable with documentation and forms', 'Reliable and professional attitude', 'Fluent in two languages']"
u34,"['Experience in peer mentoring', 'Led health education activities', 'Good with managing small groups', 'Values inclusive communication']"
u35,"['Coordinated food drives and local events', 'Excellent written communication', 'Comfortable leading volunteer teams', 'Organized and quick to adapt']"
u36,"['Animal lover with experience caring for pets', 'Calm in high-stress situations', 'Trained in basic first aid for animals', 'Enjoys long shifts and teamwork']"
u37,"['Organized community wellness day', 'Knows how to coordinate vendors', 'Friendly and supportive with attendees', 'Manages time and logistics well', 'Some experience in data entry']"
u38,"['Experience in peer mentoring', 'Led health education activities', 'Good with managing small groups', 'Values inclusive communication']"
u39,"['Worked with diverse populations', 'Empathetic listener', 'Comfortable with documentation and forms', 'Reliable and professional attitude', 'Fluent in two languages']"
u40,"['Coordinated food drives and local events', 'Excellent written communication', 'Comfortable leading volunteer teams', 'Organized and quick to adapt']"
u41,"['Organized community wellness day', 'Knows how to coordinate vendors', 'Friendly and supportive with attendees', 'Manages time and logistics well', 'Some experience in data entry']"
u42,"['Worked with diverse populations', 'Empathetic listener', 'Comfortable with documentation and forms', 'Reliable and professional attitude', 'Fluent in two languages']"
u43,"['Organized community wellness day', 'Knows how to coordinate vendors', 'Friendly and supportive with attendees', 'Manages time and logistics well', 'Some experience in data entry']"
